Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),EMF (V)
0.11,-0.03328880175405884,-1.3433968539429721,-5.93920909836525,4.475796594384086e-06
0.111,-0.03463219860800182,-1.3491741426071397,-5.783000161860254,3.899492119531895e-06
0.112,-0.03598137275060896,-1.354793877830405,-5.6261194476036085,3.411825828267278e-06
0.113,-0.03733616662843937,-1.3602554343466529,-5.468585275762864,2.9970454443777525e-06
0.114,-0.03869642206278602,-1.365558207159552,-5.310416039210928,2.642557141826212e-06
0.115,-0.04006198026994557,-1.370701611542553,-5.1516302011691195,2.3382237410085728e-06
0.116,-0.041432681881488125,-1.37568508303889,-4.992246292850218,2.075833315079391e-06
0.117,-0.042808366964527014,-1.3805080774615794,-4.83228291110151,1.8486934900874882e-06
0.11800000000000001,-0.044188875041988596,-1.385170070893421,-4.6717587160478375,1.6513192880637528e-06
0.11900000000000001,-0.04557404511288202,-1.3896705596869967,-4.510692428734649,1.4791911750622743e-06
0.12,-0.04696371567256901,-1.3940090604646715,-4.349102828771045,1.328566219395929e-06
0.121,-0.04835772473303368,-1.3981851101185936,-4.187008751972828,1.1963297311690714e-06
0.122,-0.04975590984315227,-1.4021982658106935,-4.02442908800555,1.0798779780659298e-06
0.123,-0.051158108108962964,-1.4060481049726845,-3.8613827780275622,9.770249189604535e-07
0.124,-0.05256415621393565,-1.4097342253060634,-3.6978888123330647,8.859276196830205e-07
0.125,-0.05397389043924171,-1.4132562447821089,-3.53396622799515,8.050262896080661e-07
0.126,-0.055387146684023815,-1.4166138016418828,-3.3696341065088586,7.329958272167059e-07
0.127,-0.0568037604856657,-1.4198065543962302,-3.204911571434221,6.68706475342862e-07
0.128,-0.05822356704006193,-1.4228341818257784,-3.0398177860393103,6.111917253358364e-07
0.129,-0.05964640122188771,-1.4256963829809375,-2.874371950943289,5.59622018463718e-07
0.13,-0.06107209760486865,-1.4283928771819014,-2.7085933017594597,5.1328310608233e-07
0.131,-0.06250049048205054,-1.4309234040186452,-2.542501106738309,4.715581710300101e-07
0.132,-0.06393141388606918,-1.433287723350928,-2.3761146644105606,4.3391299893405036e-07
0.133,-0.06536470160942011,-1.4354856153082918,-2.20945330123022,3.998836333862156e-07
0.134,-0.0668001872247284,-1.43751688029006,-2.0425363692176273,3.6906606199694196e-07
0.135,-0.06823770410501846,-1.4393813389653407,-1.8753832436025044,3.4110756956306016e-07
0.136,-0.06967708544398381,-1.421862886992268,-1.7080133204669985,3.1569946494287135e-07
0.137,-0.07109894833097608,-1.3539778028016243,-1.5426804266306886,2.889185361742009e-07
0.138,-0.0724529261337777,-1.2857289786034778,-1.3852411472351513,2.5607557654046943e-07
0.139,-0.07373865511238117,-1.217148997838061,-1.235737777630095,2.274299152633845e-07
0.14,-0.07495580411021924,-1.1482705962298418,-1.0942088243931116,2.0230613016760422e-07
0.14100000000000001,-0.07610407470644907,-1.0791266469913834,-0.9606889876222001,1.8015068111504776e-07
0.14200000000000002,-0.07718320135344045,-1.0097501459294331,-0.8352091449487838,1.6050693966510495e-07
0.14300000000000002,-0.07819295149936989,-0.9401741964574959,-0.7177963372825706,1.4299582059264503e-07
0.14400000000000002,-0.07913312569582738,-0.8704319945191995,-0.6084737562991418,1.2730064414809158e-07
0.145,-0.08000355769034657,-0.8005568134267754,-0.5072607336806308,1.1315521827696293e-07
0.146,-0.08080411450377335,-0.7305819886190542,-0.41417273211937755,1.003343894098501e-07
0.147,-0.08153469649239241,-0.660540902343408,-0.3292213380939053,8.864649846406471e-08
0.148,-0.08219523739473582,-0.5904588610773257,-0.252414256426067,7.792731624667536e-08
0.149,-0.08278569625581314,-0.5203574354604904,-0.1837562493240537,6.803426799465277e-08
0.15,-0.08330605369127363,-0.4502696446117421,-0.12324957078213573,5.884301073787788e-08
0.151,-0.08375632333588537,-0.3802285420880803,-0.07089263536216668,5.0245698314480267e-08
0.152,-0.08413655187797345,-0.3102671074701097,-0.02668001418913422,4.2146928558614666e-08
0.153,-0.08444681898544355,-0.24041823124445857,0.00939755644692485,3.446146268815683e-08
0.154,-0.08468723721668801,-0.1707146997743457,0.03735316473116507,2.711230548422877e-08
0.155,-0.08485795191646237,-0.10118918036270207,0.057203711216555146,2.0029061530762984e-08
0.156,-0.08495914109682506,-0.031874206412221,0.06896989497965898,1.3146506965832913e-08
0.157,-0.08499101530323729,-0.0,0.07267619805084724,6.403327334777372e-09
0.158,-0.08499101530323729,-0.0,0.07267619805084724,3.3045173835777294e-09
0.159,-0.08499101530323729,-0.0,0.07267619805084724,3.2680219164091448e-09
0.16,-0.08499101530323729,-0.0,0.07267619805084724,3.2315457123186764e-09
0.161,-0.08499101530323729,-0.0,0.07267619805084724,3.1950888751067378e-09
0.162,-0.08499101530323729,-0.0,0.07267619805084724,3.1586515236395966e-09
0.163,-0.08499101530323729,-0.0,0.07267619805084724,3.1222337483223034e-09
0.164,-0.08499101530323729,-0.0,0.07267619805084724,3.085835646258004e-09
0.165,-0.08499101530323729,-0.0,0.07267619805084724,3.0494572676710374e-09
0.166,-0.08499101530323729,-0.0,0.07267619805084724,3.013098699619268e-09
0.167,-0.08499101530323729,-0.0,0.07267619805084724,2.976759977260353e-09
0.168,-0.08499101530323729,-0.0,0.07267619805084724,2.940441155842099e-09
0.169,-0.08499101530323729,-0.0,0.07267619805084724,2.904142262151096e-09
0.17,-0.08499101530323729,-0.0,0.07267619805084724,2.867863309580639e-09
0.171,-0.08499101530323729,-0.0,0.07267619805084724,2.8316043232439313e-09
0.17200000000000001,-0.08499101530323729,-0.0,0.07267619805084724,2.7953652947694915e-09
0.17300000000000001,-0.08499101530323729,-0.0,0.07267619805084724,2.7591462191359197e-09
0.17400000000000002,-0.08499101530323729,-0.0,0.07267619805084724,2.7229470795998396e-09
0.17500000000000002,-0.08499101530323729,-0.0,0.07267619805084724,2.686767849375075e-09
0.176,-0.08499101530323729,-0.0,0.07267619805084724,2.6506084866071875e-09
0.177,-0.08499101530323729,-0.0,0.07267619805084724,2.6144689544657397e-09
0.178,-0.08499101530323729,-0.0,0.07267619805084724,2.5783491893295964e-09
0.179,-0.08499101530323729,-0.0,0.07267619805084724,2.542249129255264e-09
0.18,-0.08499101530323729,-0.0,0.07267619805084724,2.5061687056024677e-09
0.181,-0.08499101530323729,-0.0,0.07267619805084724,2.470107832986316e-09
0.182,-0.08499101530323729,-0.0,0.07267619805084724,2.434066429373653e-09
0.183,-0.08499101530323729,-0.0,0.07267619805084724,2.3980443876160523e-09
0.184,-0.08499101530323729,-0.0,0.07267619805084724,2.362041608938222e-09
0.185,-0.08499101530323729,-0.0,0.07267619805084724,2.326057971124227e-09
0.186,-0.08499101530323729,-0.0,0.07267619805084724,2.29009335698284e-09
0.187,-0.08499101530323729,-0.0,0.07267619805084724,2.254147640948458e-09
0.188,-0.08499101530323729,-0.0,0.07267619805084724,2.218220677370705e-09
0.189,-0.08499101530323729,-0.0,0.07267619805084724,2.1823123306395234e-09
0.19,-0.08499101530323729,-0.0,0.07267619805084724,2.146422438360334e-09
0.191,-0.08499101530323729,-0.0,0.07267619805084724,2.110550844833757e-09
0.192,-0.08499101530323729,-0.0,0.07267619805084724,2.074697389340254e-09
0.193,-0.08499101530323729,-0.0,0.07267619805084724,2.0388618927410417e-09
0.194,-0.08499101530323729,-0.0,0.07267619805084724,2.0030441725534597e-09
0.195,-0.08499101530323729,-0.0,0.07267619805084724,1.96724404294063e-09
0.196,-0.08499101530323729,-0.0,0.07267619805084724,1.9314613147238652e-09
0.197,-0.08499101530323729,-0.0,0.07267619805084724,1.8956957853249787e-09
0.198,-0.08499101530323729,-0.0,0.07267619805084724,1.8599472421258795e-09
0.199,-0.08499101530323729,-0.0,0.07267619805084724,1.8242154808749948e-09
0.2,-0.08499101530323729,-0.0,0.07267619805084724,1.788500288951752e-09
0.201,-0.08499101530323729,-0.0,0.07267619805084724,1.7528014135581756e-09
0.202,-0.08499101530323729,-0.0,0.07267619805084724,1.7171186554649198e-09
0.203,-0.08499101530323729,-0.0,0.07267619805084724,1.6814517635453271e-09
0.20400000000000001,-0.08499101530323729,-0.0,0.07267619805084724,1.6458005017419032e-09
0.20500000000000002,-0.08499101530323729,-0.0,0.07267619805084724,1.6101646155779093e-09
0.20600000000000002,-0.08499101530323729,-0.0,0.07267619805084724,1.574543857277183e-09
0.20700000000000002,-0.08499101530323729,-0.0,0.07267619805084724,1.5389379757118266e-09
0.20800000000000002,-0.08499101530323729,-0.0,0.07267619805084724,1.503346692968593e-09
0.209,-0.08499101530323729,-0.0,0.07267619805084724,1.4677697462021974e-09
0.21,-0.08499101530323729,-0.0,0.07267619805084724,1.43220687758942e-09
0.211,-0.08499101530323729,-0.0,0.07267619805084724,1.3966577941488004e-09
0.212,-0.08499101530323729,-0.0,0.07267619805084724,1.3611222162932506e-09
0.213,-0.08499101530323729,-0.0,0.07267619805084724,1.3255998610860557e-09
0.214,-0.08499101530323729,-0.0,0.07267619805084724,1.2900904405703418e-09
0.215,-0.08499101530323729,-0.0,0.07267619805084724,1.2545936517184177e-09
0.216,-0.08499101530323729,-0.0,0.07267619805084724,1.219109206573409e-09
0.217,-0.08499101530323729,-0.0,0.07267619805084724,1.1836367870397026e-09
0.218,-0.08499101530323729,-0.0,0.07267619805084724,1.148176103487038e-09
0.219,-0.08499101530323729,-0.0,0.07267619805084724,1.1127268361464157e-09
0.22,-0.08499101530323729,-0.0,0.07267619805084724,1.0772886702727173e-09
0.221,-0.08499101530323729,-0.0,0.07267619805084724,1.0418612911199977e-09
0.222,-0.08499101530323729,-0.0,0.07267619805084724,1.0064443738982705e-09
0.223,-0.08499101530323729,-0.0,0.07267619805084724,9.71037602189445e-10
0.224,-0.08499101530323729,-0.0,0.07267619805084724,9.35640641157013e-10
0.225,-0.08499101530323729,-0.0,0.07267619805084724,9.002531643371885e-10
0.226,-0.08499101530323729,-0.0,0.07267619805084724,8.648748318691685e-10
0.227,-0.08499101530323729,-0.0,0.07267619805084724,8.295053172933028e-10
0.228,-0.08499101530323729,-0.0,0.07267619805084724,7.94144272377307e-10
0.229,-0.08499101530323729,-0.0,0.07267619805084724,7.587913622859136e-10
0.23,-0.08499101530323729,-0.0,0.07267619805084724,7.234462421406421e-10
0.231,-0.08499101530323729,-0.0,0.07267619805084724,6.881085603628486e-10
0.232,-0.08499101530323729,-0.0,0.07267619805084724,6.527779737470251e-10
0.233,-0.08499101530323729,-0.0,0.07267619805084724,6.174541256927147e-10
0.234,-0.08499101530323729,-0.0,0.07267619805084724,5.821366679717684e-10
0.23500000000000001,-0.08499101530323729,-0.0,0.07267619805084724,5.468252506805834e-10
0.23600000000000002,-0.08499101530323729,-0.0,0.07267619805084724,5.115195004790486e-10
0.23700000000000002,-0.08499101530323729,-0.0,0.07267619805084724,4.762190775076013e-10
0.23800000000000002,-0.08499101530323729,-0.0,0.07267619805084724,4.4092361177373033e-10
0.23900000000000002,-0.08499101530323729,-0.0,0.07267619805084724,4.056327399817787e-10
0.24,-0.08499101530323729,-0.0,0.07267619805084724,3.703461122281536e-10
0.241,-0.08499101530323729,-0.0,0.07267619805084724,3.3506334847420437e-10
0.242,-0.08499101530323729,-0.0,0.07267619805084724,2.9978409044735907e-10
0.243,-0.08499101530323729,-0.0,0.07267619805084724,2.645079715018688e-10
0.244,-0.08499101530323729,-0.0,0.07267619805084724,2.2923463168967645e-10
0.245,-0.08499101530323729,-0.0,0.07267619805084724,1.9396369432183004e-10
0.246,-0.08499101530323729,-0.0,0.07267619805084724,1.586947860561504e-10
0.247,-0.08499101530323729,-0.0,0.07267619805084724,1.23427551967221e-10
0.248,-0.08499101530323729,-0.0,0.07267619805084724,8.81616069946085e-11
0.249,-0.08499101530323729,-0.0,0.07267619805084724,5.289659621331005e-11
0.25,-0.08499101530323729,-0.0,0.07267619805084724,1.7632132886197178e-11
0.251,-0.08499101530323729,-0.0,0.07267619805084724,-1.7632132886197178e-11
0.252,-0.08499101530323729,-0.0,0.07267619805084724,-5.289659621331005e-11
0.253,-0.08499101530323729,-0.0,0.07267619805084724,-8.81616069946085e-11
0.254,-0.08499101530323729,-0.0,0.07267619805084724,-1.23427551967221e-10
0.255,-0.08499101530323729,-0.0,0.07267619805084724,-1.586947860561504e-10
0.256,-0.08499101530323729,-0.0,0.07267619805084724,-1.9396369432183004e-10
0.257,-0.08499101530323729,-0.0,0.07267619805084724,-2.2923463168967645e-10
0.258,-0.08499101530323729,-0.0,0.07267619805084724,-2.645079715018688e-10
0.259,-0.08499101530323729,-0.0,0.07267619805084724,-2.9978409044735907e-10
0.26,-0.08499101530323729,-0.0,0.07267619805084724,-3.3506334847420437e-10
0.261,-0.08499101530323729,-0.0,0.07267619805084724,-3.7034611222814334e-10
0.262,-0.08499101530323729,-0.0,0.07267619805084724,-4.056327399817787e-10
0.263,-0.08499101530323729,-0.0,0.07267619805084724,-4.4092361177373033e-10
0.264,-0.08499101530323729,-0.0,0.07267619805084724,-4.762190775076013e-10
0.265,-0.08499101530323729,-0.0,0.07267619805084724,-5.115195004790486e-10
0.266,-0.08499101530323729,-0.0,0.07267619805084724,-5.468252506805834e-10
0.267,-0.08499101530323729,-0.0,0.07267619805084724,-5.821366679717684e-10
0.268,-0.08499101530323729,-0.0,0.07267619805084724,-6.174541256927147e-10
0.269,-0.08499101530323729,-0.0,0.07267619805084724,-6.527779737470251e-10
0.27,-0.08499101530323729,-0.0,0.07267619805084724,-6.881085603628486e-10
0.271,-0.08499101530323729,-0.0,0.07267619805084724,-7.234462421406421e-10
0.272,-0.08499101530323729,-0.0,0.07267619805084724,-7.587913622859136e-10
0.273,-0.08499101530323729,-0.0,0.07267619805084724,-7.94144272377307e-10
0.274,-0.08499101530323729,-0.0,0.07267619805084724,-8.295053172933028e-10
0.275,-0.08499101530323729,-0.0,0.07267619805084724,-8.648748318691685e-10
0.276,-0.08499101530323729,-0.0,0.07267619805084724,-9.002531643371885e-10
0.277,-0.08499101530323729,-0.0,0.07267619805084724,-9.35640641157013e-10
0.278,-0.08499101530323729,-0.0,0.07267619805084724,-9.71037602189445e-10
0.279,-0.08499101530323729,-0.0,0.07267619805084724,-1.0064443738982705e-09
0.28,-0.08499101530323729,-0.0,0.07267619805084724,-1.0418612911199977e-09
0.281,-0.08499101530323729,-0.0,0.07267619805084724,-1.0772886702727173e-09
0.28200000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.1127268361464157e-09
0.28300000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.148176103487038e-09
0.28400000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.1836367870397026e-09
0.28500000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.219109206573409e-09
0.28600000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.2545936517184177e-09
0.28700000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.2900904405703418e-09
0.28800000000000003,-0.08499101530323729,-0.0,0.07267619805084724,-1.3255998610860557e-09
0.289,-0.08499101530323729,-0.0,0.07267619805084724,-1.3611222162933262e-09
0.29,-0.08499101530323729,-0.0,0.07267619805084724,-1.3966577924745868e-09
0.291,-0.08499101530323729,-0.0,0.07267619805084724,-1.4322068792636336e-09
0.292,-0.08499101530323729,0.0,0.07267619805084724,-1.4677697462021567e-09
0.293,-0.08499101530323729,0.0,0.07267619805084724,-1.503346692968593e-09
0.294,-0.08499101530323729,0.0,0.07267619805084724,-1.5389379757118266e-09
0.295,-0.08499101530323729,0.0,0.07267619805084724,-1.574543857277183e-09
0.296,-0.08499101530323729,0.0,0.07267619805084724,-1.6101646155779093e-09
0.297,-0.08499101530323729,0.0,0.07267619805084724,-1.6458005017419032e-09
0.298,-0.08499101530323729,0.0,0.07267619805084724,-1.6814517635453271e-09
0.299,-0.08499101530323729,0.0,0.07267619805084724,-1.7171186554649198e-09
0.3,-0.08499101530323729,0.0,0.07267619805084724,-1.7528014135581756e-09
0.301,-0.08499101530323729,0.0,0.07267619805084724,-1.7885002856041521e-09
0.302,-0.08499101530323729,0.0,0.07267619805084724,-1.8242154842225948e-09
0.303,-0.08499101530323729,0.0,0.07267619805084724,-1.8599472421258795e-09
0.304,-0.08499101530323729,0.0,0.07267619805084724,-1.8956957853249787e-09
0.305,-0.08499101530323729,0.0,0.07267619805084724,-1.9314613147238652e-09
0.306,-0.08499101530323729,0.0,0.07267619805084724,-1.96724404294063e-09
0.307,-0.08499101530323729,0.0,0.07267619805084724,-2.0030441725534597e-09
0.308,-0.08499101530323729,0.0,0.07267619805084724,-2.0388618927410417e-09
0.309,-0.08499101530323729,0.0,0.07267619805084724,-2.074697389340254e-09
0.31,-0.08499101530323729,0.0,0.07267619805084724,-2.110550844833757e-09
0.311,-0.08499101530323729,0.0,0.07267619805084724,-2.146422438360334e-09
0.312,-0.08499101530323729,0.0,0.07267619805084724,-2.1823123306395234e-09
0.313,-0.08499101530323729,0.0,0.07267619805084724,-2.218220677370705e-09
0.314,-0.08499101530323729,0.0,0.07267619805084724,-2.254147640948458e-09
0.315,-0.08499101530323729,0.0,0.07267619805084724,-2.29009335698284e-09
0.316,-0.08499101530323729,0.0,0.07267619805084724,-2.326057971124227e-09
0.317,-0.08499101530323729,0.0,0.07267619805084724,-2.362041608938222e-09
0.318,-0.08499101530323729,0.0,0.07267619805084724,-2.3980443876160523e-09
0.319,-0.08499101530323729,0.0,0.07267619805084724,-2.434066429373653e-09
0.32,-0.08499101530323729,0.0,0.07267619805084724,-2.470107832986316e-09
0.321,-0.08499101530323729,0.0,0.07267619805084724,-2.5061687056024677e-09
0.322,-0.08499101530323729,0.0,0.07267619805084724,-2.542249129255264e-09
0.323,-0.08499101530323729,0.0,0.07267619805084724,-2.5783491893295964e-09
0.324,-0.08499101530323729,0.0,0.07267619805084724,-2.6144689544657397e-09
0.325,-0.08499101530323729,0.0,0.07267619805084724,-2.650608486607114e-09
0.326,-0.08499101530323729,0.0,0.07267619805084724,-2.686767849375075e-09
0.327,-0.08499101530323729,0.0,0.07267619805084724,-2.7229470795998396e-09
